tconst,primaryTitle,originalTitle,startYear,decade,runtimeMinutes,primaryGenre,genres,averageRating,numVotes,ratingCategory,popularityTier,hasDirector,directors,writers
tt0163745,The Debut,The Debut,2000.0,2000.0,88,Comedy,"Comedy,Drama",6.4,737,Average (6.0-6.9),Niche (<1K),True,nm0129132,"nm0129132,nm0145585"
tt0163764,Net Worth,Net Worth,2001.0,2000.0,94,Action,"Action,Adventure,Comedy",6.0,278,Average (6.0-6.9),Niche (<1K),True,nm0342660,"nm0342660,nm0449337"
tt0163978,The Beach,The Beach,2000.0,2000.0,119,Adventure,"Adventure,Drama,Romance",6.6,267706,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0000965,"nm0388076,nm0307497"
tt0163983,Bless the Child,Bless the Child,2000.0,2000.0,107,Crime,"Crime,Drama,Horror",5.1,15955,Below Average (5.0-5.9),Popular (10K-50K),True,nm0751080,"nm0817697,nm0725564,nm0337731,nm0337825"
tt0164003,City of Ghosts,City of Ghosts,2002.0,2000.0,116,Crime,"Crime,Drama,Thriller",5.9,6157,Below Average (5.0-5.9),Known (1K-10K),True,nm0000369,"nm0000369,nm0317510"
tt0164052,Hollow Man,Hollow Man,2000.0,2000.0,112,Action,"Action,Horror,Sci-Fi",5.9,145867,Below Average (5.0-5.9),Blockbuster (100K+ votes),True,nm0000682,"nm0549256,nm0860155"
tt0164184,The Sum of All Fears,The Sum of All Fears,2002.0,2000.0,124,Action,"Action,Drama,Thriller",6.5,133724,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0004675,"nm0002007,nm0001921,nm0002417"
tt0164192,Boltneck,Big Monster on Campus,2000.0,2000.0,92,Comedy,"Comedy,Horror,Sci-Fi",4.8,1049,Poor (<5.0),Known (1K-10K),True,"nm0546153,nm7919195",nm0668292
tt0164212,Under Suspicion,Under Suspicion,2000.0,2000.0,110,Crime,"Crime,Drama,Thriller",6.4,30237,Average (6.0-6.9),Popular (10K-50K),True,nm0394280,"nm0906538,nm0002218,nm0379150,nm0002192,nm0699103,nm0407717"
tt0164318,Across the Line,Across the Line,2000.0,2000.0,99,Drama,"Drama,Thriller",5.4,399,Below Average (5.0-5.9),Niche (<1K),True,nm0819500,"nm0258852,nm0819500"
tt0164334,Along Came a Spider,Along Came a Spider,2001.0,2000.0,104,Crime,"Crime,Drama,Mystery",6.4,103565,Average (6.0-6.9),Blockbuster (100K+ votes),True,nm0848414,"nm0666248,nm0609031"
tt0164545,Doomsday Man,Doomsday Man,2000.0,2000.0,89,Drama,Drama,3.8,517,Poor (<5.0),Niche (<1K),True,nm0338628,nm0825388
tt0164810,Pipe Dream,Pipe Dream,2001.0,2000.0,91,Comedy,"Comedy,Romance",6.0,1100,Average (6.0-6.9),Known (1K-10K),True,nm0909699,"nm0909699,nm0438219"
tt0164961,Vidocq,Vidocq,2001.0,2000.0,98,Action,"Action,Crime,Fantasy",6.4,23932,Average (6.0-6.9),Popular (10K-50K),True,nm0685759,"nm0896520,nm0685759,nm0335096"
tt0165361,Highway,Highway,2002.0,2000.0,97,Crime,"Crime,Drama",6.1,7181,Average (6.0-6.9),Known (1K-10K),True,nm0185063,nm0003298
tt0165400,Nautilus,Nautilus,2000.0,2000.0,97,Action,"Action,Sci-Fi",3.5,310,Poor (<5.0),Niche (<1K),True,nm0567979,nm0003676
tt0165642,Black Sea 213,Black Sea 213,2000.0,2000.0,85,Action,"Action,Drama",3.2,195,Poor (<5.0),Niche (<1K),True,nm0252046,"nm0455394,nm0195705"
tt0165800,The Giving Tree,The Giving Tree,2000.0,2000.0,89,Drama,"Drama,Thriller",3.9,712,Poor (<5.0),Niche (<1K),True,nm0861151,"nm0758096,nm0700618"
